Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude,Postcode_py,address_py
1,"Rainbow Diagnostic Pvt. Ltd.
 ","B-16, Below Bali Vable, Near Shiv Chowk, Shalimar Garden, Extn-II, Sahibabad-201005.",201005,Sahibabad,Uttar Pradesh,India,,,,,,-8.3405389,115.0919509,APPROXIMATE,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"Rainbow Diagnostic Pvt. Ltd., B-16, Below Bali Vable, Near Shiv Chowk, Shalimar Garden, Extn-II, Sahibabad, Uttar Pradesh, India-201005.
 ",28.6902392,77.3403391,201005,"Rainbow Diagnostic Pvt. Ltd., B-16, Below Bali Vable, Near Shiv Chowk, Shalimar Garden, Extn-II, Sahibabad, Uttar Pradesh, India-201005.
 "
2,Sri Manakula Vinayagar Medical College,"Madagadipet, Kalitheerthalkuppam, Puducherry, India, 605107",605107,Kalitheerthalkuppam,Puducherry,India,,,,,,11.92154992,79.6280548,GEOMETRIC_CENTER,NABH,General,0413 264 3014,CGHS_hospitals,1,,11.92128959,79.62805471,"Sri Manakula Vinayagar Medical College, Madagadipet, Kalitheerthalkuppam, Puducherry, India, 605107",11.9213856,79.628235,605107,"Manakula Vinayakar Institute of Technology, Madhagadipet Main Road, Madhagadipet, Villianur Taluk, Puducherry District, Puducherry, 605107, India"
3,Pondicherry Institute of Medical Sciences,"Kalathumettupathai, Ganapathichettikulam Village No.20, Kalapet, Puducherry",605014,Kalapet,Puducherry,India,,,,,,12.04662844,79.85509334,GEOMETRIC_CENTER,NON NABH,General,0413 265 1111,CGHS_hospitals,1,,12.0489345             79.8557336,,"Pondicherry Institute of Medical Sciences, Kalathumettupathai, Ganapathichettikulam Village No.20, Kalapet, Puducherry, Kalapet, 605014",12.0462822,79.8551148,605014,"Pondicherry Institute of Medical Sciences, East Coast Road, Pondicherry University, Kalapet, Ozhukarai Taluk, Puducherry District, Puducherry, 605014, India"
4,Narayana Netralaya,"Narayana Health City, NarayanHrudayalaya Campus 258/A Bommasandra, Hosur Rd, Bengaluru, Karnataka ",560099,Bangalore,Karnataka,India,,,,,,12.81215894,77.69345859,0,"NABH
 (29/07/2017
 -
 28/07/2020)
 &
 Non-NABL",EXCLUSIVE EYE CARE CENTRE,"Shahnaz -
 9880965390 -
 corporatenn2@nar
 ayananethralaya.co
 m
 
 Narendra . P -
 9900093498 â€“
 narendra_maj@nar
 ayananethralaya.co
 m",CGHS_hospitals,1,,12.8063612,77.69376935,"Narayana Netralaya, Narayana Health City, NarayanHrudayalaya Campus 258/A Bommasandra, Hosur Rd, Bengaluru, Karnataka , Bangalore, 560099",12.8091968,77.6950971,560099,"Narayana Hrudayalaya, Hosur Road, Chandapura, Suryanagar Phase 1, Kittaganahalli, Anekal, Bengaluru Urban District, Karnataka, 560099, India"
5,Narayana Hrudayalaya,"258/A, Bommasandra, Narayana Health City, Bangalore ",560099,Bangalore,Karnataka,India,,,,,,12.8159214,77.6793813,ROOFTOP,"NABH
 (05/06/2016
 -
 02/09/2019)
 &
 NABL","Anaesthesiology, Blood Bank, Cardiology &Cardiothoracic Surgery â€“ Adult,
 Pediatrics& Neonatology, Cranio-Maxillo Facial Surgery, Clinical Nutrition & Dietetics,
 Dentistry & Implantology, Dermatology & Cosmetology, Diabetics & Endocrinology, E.N.T,
 General Surgery, Genetics, Haematology, Internal Medicine, Medical & Surgical
 Gastroenterology, Medical & Surgical Oncology, Multi -Organ Transplantation (Cardiac,
 Liver, Kidney, Bone Marrow), Nephrology, Medical, Surgical & Interventional Neurology,
 Nuclear Medicine, OB &G, Pediatrics, Plastic & Reconstructive Surgery, Psychiatry & Clinical
 Psychology, Pulmonology, Reproductive Medicine, Thoracic Surgery, Urology, Vascular
 Surgery, Rheumatology, Speech & Swallow Rehabilitation, Physiotherapy & Rehabilitation,
 Infectious Diseases. Radiology & Imaging facilities including Fluoroscopy, Mammography,
 Nuclear Medicine including PET- CT, Laboratory facilities.","Saleem Jalaluddin -
 8884416553 -
 jalaluddin@naraya
 nahealth.org
 
 Kishore.A -
 9916678307 -
 kishore.a@narayan
 ahealth.org",CGHS_hospitals,1,,12.8096711,77.69553623,"Narayana Hrudayalaya, 258/A, Bommasandra, Narayana Health City, Bangalore , Bangalore, 560099",12.8071161,77.6961394,560099,"Sparsh Hospital, Bengaluru Urban, Hosur Road, Chandapura, Suryanagar Phase 1, Kittaganahalli, Anekal, Bengaluru Urban District, Karnataka, 560099, India"
6,Narayana Nethralaya Hulimavu,"63, Bannerghatta Main Rd, Next to Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka ",560076,Bangalore,Karnataka,India,,,,,,12.87493,77.59514845,GEOMETRIC_CENTER,"NABH
 (22/07/2018
 -
 21/07/2021)
 &
 Non- NABL",EXCLUSIVE EYE CARE CENTRE,"Pavithra
 Sunderrajan,
 9036825288,
 pavithrasunderraja
 n@narayananethral
 aya.com
 Akash, 9972100655,
 nn4corporate@nar
 ayananethralaya.co
 m",CGHS_hospitals,1,,12.87470925,77.59510336,"Narayana Nethralaya Hulimavu, 63, Bannerghatta Main Rd, Next to Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka , Bangalore, 560076",12.8745853,77.5950082,560083,"Islamiah Institute, Bannerghatta Road, Hulimavu, Arakere, Bommanahalli Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560083, India"
7,Fortis Hospitals Limited,"11, Bannerghatta Main Rd, Krishnaraju Layout, Amalodbhavi Nagar, Panduranga Nagar, Bengaluru, Karnataka ",560076,Bangalore,Karnataka,India,,,,,,12.89607043,77.59951096,ROOFTOP,"Non NABH
 &
 NABL
 (07/02/2020
 -
 06/02/2022)","Anaesthesiology, Cardiac Anaesthesia, Cardio Thoracic Surgery- Adult & Paediatrc,
 Cardiology-Adult & Paediatric Dental Science, Dermatology & Venereology, Emergency
 Medicine, Endocrinology, Family Medicine, Gastroenterology (Medical, Paediatric, Surgical),
 General Medicine, General Surgery Including Minimal Access Surgery, Geriatrics, Head and
 Neck Surgery, Hepato Pancreato Biliary Surgery, Hepato Pancreato Biliary surgery,
 Hepatology, Infertility and IVF, Neonatology, Nephrology, Neuro Surgery, Neurology,
 Obstetrics & Gynaecology, Oncology (Medical, Surgical), Ophthalmology, Orthopaedic Surgery
 including Joint Replacement Surgery, Otorhinolaryngology, Paediatric Surgery, Paediatrics,
 Plastics and Reconstructive Surgery, Psychiatry, Respiratory Medicine, Rheumatology, Sports
 Medicine, Urology, Vascular Surgery, Dietetics, Physiotherapy and Rehabilitation, Psychology,
 Speech and language Therapy, laboratory Services, Diagnostic Services and Transfusions
 Services.","Ravi Kuamr -
 9980411377,
 ravi.g@fortishealth
 care.com
 
 Ramesh Gattu -
 9900963388,
 ramesh.gattu@fort
 ishealthcare.com",CGHS_hospitals,1,,12.89499236,77.59865425,"Fortis Hospitals Limited, 11, Bannerghatta Main Rd, Krishnaraju Layout, Amalodbhavi Nagar, Panduranga Nagar, Bengaluru, Karnataka , Bangalore, 560076",12.9102431,77.6001599,560069,"Samrat Laxminarayan Wood Industries, Bannerghatta Road, MICO Layout, BTM Layout Ward, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560069, India"
8,Imperial Hospital and Research Centre (Apollo),"154/11, Opp. IIMB-
 B, Bannerghatta
 Road, Bangalore
 ",560076,Bangalore,Karnataka,India,,,,,,12.89643124,77.59841662,ROOFTOP,"NABH
 &
 NABL
 (22/05/2018
 -
 21/05/2020)","Cardiology, CTVS, Vascular Surgery, Orthopedics (Joint Replacements, Spine Surgery),
 Paediatrics &Gynecology, General Surgery, Bariatric Surgery, Urology, Nephrology
 (Transplantation and Dialysis), Medical & Surgical Gastroenterology, Neurology &Neuro
 Surgery, ENT Surgery, Opthalmology, Imaging Services (CT, MRI, PET Scan, Nuclear
 Medicine), Medical, Surgical & Radiation Oncology, Laboratory Services","Krishna Reddy -
 9483600956,
 krishnareddy_k@a
 pollohospitals.com
 
 Manjunatha. E -
 9902292741,
 manjunatha_e@ap
 ollohospitals.com",CGHS_hospitals,1,,12.89622536,77.59815722,"Imperial Hospital and Research Centre (Apollo), 154/11, Opp. IIMB-
 B, Bannerghatta
 Road, Bangalore
 , Bangalore, 560076",12.8956152,77.602547,560076,"Indian Institute of Management Bangalore, Bannerghatta Road, Panduranga Nagar, Bilekahalli, Bommanahalli Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560076, India"
9,Shekar Eye Hospital,"No.33 100 feet Ring
 road, JP Nagar 3rd
 phase, Bengalore",560078,Bangalore,Karnataka,India,,,,,,12.90677656,77.59597729,ROOFTOP,"NABH
 (18/12/2018
 â€“
 01/12/2021)
 
 &
 NON NABL",EXCLUSIVE EYE CARE CENTRE,"Shobha -
 9148147175 -
 counselling@shekar
 eyehospital.com
 
 Nirnjan Rao
 Bhonsle -
 9148147182 -
 tpa@shekareyehosp
 ital.com",CGHS_hospitals,1,,12.9064987,77.59595252,"Shekar Eye Hospital, No.33 100 feet Ring
 road, JP Nagar 3rd
 phase, Bengalore, Bangalore, 560078",12.9066982,77.5988624,560076,"Klayworkz Barista, Outer Ring Road, J P Nagar, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560076, India"
10,Sagar Hospitals Banshankari,"Shavige Malleshwara Hills, DSI, behind Dayananda Sagar Institution Campus, Kumaraswamy Layout, Bengaluru, Karnataka",560111,Bangalore,Karnataka,India,,,,,,12.90795625,77.56510483,GEOMETRIC_CENTER,"Non NABH
 Entry level
 (06/07/2017
 -
 05/07/2019)
 &
 NABL
 (13/06/2018
 -
 12/06/2020)","Anesthesiology, Cardiology, Cosmetic/Plastic Surgery, Dental, Dermatology, Diabetics &
 Endocrinology Dietary & Nutrition, ENT, Gastroenterology, General Surgery, Geriatrics,
 Neonatology, Nephrology Neurosurgery, Obstetrics and Gynecology, Oncology-
 Medical/Surgical, Ophthalmology, Orthopedics, Pathology and Laboratory Services,
 Pediatrics,Physiotherapy, Psychology, Pulmonology/Respiratory Medicine, Radiology &
 Imaging Services, Rheumatology, Reconstructive Surgery, Transfusion Medicine Urology,
 Vascular Surgery, Diagnostic Services.","Vikram -
 9591991812,
 billinmanger.bsk@s
 agarhospitals.in
 
 Dr. Naganand.K.A -
 9591991897,
 amabsk@sagarhos
 pitals.in",CGHS_hospitals,1,,12.90796711,77.56511925,"Sagar Hospitals Banshankari, Shavige Malleshwara Hills, DSI, behind Dayananda Sagar Institution Campus, Kumaraswamy Layout, Bengaluru, Karnataka, Bangalore, 560111",12.9087694,77.5672257,560082,"Dayanand Sagar Institutions, 90th Cross, KS Layout 5th Cross, ISRO Layout, Kumaraswamy Layout, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560082, India"
