Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude,Postcode_py,address_py,Manual Score,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance,BWTRLENCD Distance,Monge Elkan Distance*10,Auto Score
2,Sri Manakula Vinayagar Medical College,"Madagadipet, Kalitheerthalkuppam, Puducherry",605107,Kalitheerthalkuppam,Puducherry,India,,,,,,11.92154992,79.6280548,GEOMETRIC_CENTER,NABH,General,0413 264 3014,CGHS_hospitals,1,,11.92128959,79.62805471,"Sri Manakula Vinayagar Medical College, Madagadipet, Kalitheerthalkuppam, Puducherry, India, 605107",11.9213856,79.628235,605107,"Manakula Vinayakar Institute of Technology, Madhagadipet Main Road, Madhagadipet, Villianur Taluk, Puducherry District, Puducherry, 605107, India",0.85,0.420689655,0.724157113,0.605263158,0.767867398,0.004846444,0.177777778,0.048464442,0.637505007
3,Pondicherry Institute of Medical Sciences,"Kalathumettupathai, Ganapathichettikulam Village No.20, Kalapet, Puducherry",605014,Kalapet,Puducherry,India,,,,,,12.04662844,79.85509334,GEOMETRIC_CENTER,NON NABH,General,0413 265 1111,CGHS_hospitals,1,,12.0489345             79.8557336,,"Pondicherry Institute of Medical Sciences, Kalathumettupathai, Ganapathichettikulam Village No.20, Kalapet, Puducherry, Kalapet, 605014",12.0462822,79.8551148,605014,"Pondicherry Institute of Medical Sciences, East Coast Road, Pondicherry University, Kalapet, Ozhukarai Taluk, Puducherry District, Puducherry, 605014, India",0.9,0.487179487,0.841054131,0.590163934,0.744208408,0.003484225,0.255813953,0.03484225,0.704187781
4,Narayana Netralaya,"Narayana Health City, NarayanHrudayalaya Campus 258/A Bommasandra, Hosur Rd, Bengaluru, Karnataka ",560099,Bangalore,Karnataka,India,,,,,,12.81215894,77.69345859,0,"NABH
 (29/07/2017
 -
 28/07/2020)
 &
 Non-NABL",EXCLUSIVE EYE CARE CENTRE,"Shahnaz -
 9880965390 -
 corporatenn2@nar
 ayananethralaya.co
 m
 
 Narendra . P -
 9900093498 â€“
 narendra_maj@nar
 ayananethralaya.co
 m",CGHS_hospitals,1,,12.8063612,77.69376935,"Narayana Netralaya, Narayana Health City, NarayanHrudayalaya Campus 258/A Bommasandra, Hosur Rd, Bengaluru, Karnataka , Bangalore, 560099",12.8091968,77.6950971,560099,"Narayana Hrudayalaya, Hosur Road, Chandapura, Suryanagar Phase 1, Kittaganahalli, Anekal, Bengaluru Urban District, Karnataka, 560099, India",0.8,0.342857143,0.853908056,0.720496894,0.837594251,0.003489797,0.18699187,0.03489797,0.677254954
5,Narayana Hrudayalaya,"258/A, Bommasandra, Narayana Health City, Bangalore ",560099,Bangalore,Karnataka,India,,,,,,12.8159214,77.6793813,ROOFTOP,"NABH
 (05/06/2016
 -
 02/09/2019)
 &
 NABL","Anaesthesiology, Blood Bank, Cardiology &Cardiothoracic Surgery â€“ Adult,
 Pediatrics& Neonatology, Cranio-Maxillo Facial Surgery, Clinical Nutrition & Dietetics,
 Dentistry & Implantology, Dermatology & Cosmetology, Diabetics & Endocrinology, E.N.T,
 General Surgery, Genetics, Haematology, Internal Medicine, Medical & Surgical
 Gastroenterology, Medical & Surgical Oncology, Multi -Organ Transplantation (Cardiac,
 Liver, Kidney, Bone Marrow), Nephrology, Medical, Surgical & Interventional Neurology,
 Nuclear Medicine, OB &G, Pediatrics, Plastic & Reconstructive Surgery, Psychiatry & Clinical
 Psychology, Pulmonology, Reproductive Medicine, Thoracic Surgery, Urology, Vascular
 Surgery, Rheumatology, Speech & Swallow Rehabilitation, Physiotherapy & Rehabilitation,
 Infectious Diseases. Radiology & Imaging facilities including Fluoroscopy, Mammography,
 Nuclear Medicine including PET- CT, Laboratory facilities.","Saleem Jalaluddin -
 8884416553 -
 jalaluddin@naraya
 nahealth.org
 
 Kishore.A -
 9916678307 -
 kishore.a@narayan
 ahealth.org",CGHS_hospitals,1,,12.8096711,77.69553623,"Narayana Hrudayalaya, 258/A, Bommasandra, Narayana Health City, Bangalore , Bangalore, 560099",12.8071161,77.6961394,560099,"Sparsh Hospital, Bengaluru Urban, Hosur Road, Chandapura, Suryanagar Phase 1, Kittaganahalli, Anekal, Bengaluru Urban District, Karnataka, 560099, India",,0.302631579,0.653843614,0.484848485,0.67286311,0.004971673,0.068181818,0.04971673,0.540117184
6,Narayana Nethralaya Hulimavu,"63, Bannerghatta Main Rd, Next to Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka ",560076,Bangalore,Karnataka,India,,,,,,12.87493,77.59514845,GEOMETRIC_CENTER,"NABH
 (22/07/2018
 -
 21/07/2021)
 &
 Non- NABL",EXCLUSIVE EYE CARE CENTRE,"Pavithra
 Sunderrajan,
 9036825288,
 pavithrasunderraja
 n@narayananethral
 aya.com
 Akash, 9972100655,
 nn4corporate@nar
 ayananethralaya.co
 m",CGHS_hospitals,1,,12.87470925,77.59510336,"Narayana Nethralaya Hulimavu, 63, Bannerghatta Main Rd, Next to Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka , Bangalore, 560076",12.8745853,77.5950082,560083,"Islamiah Institute, Bannerghatta Road, Hulimavu, Arakere, Bommanahalli Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560083, India",,0.290322581,0.714681819,0.662857143,0.798955675,0.003379109,0.176470588,0.03379109,0.607380311
7,Fortis Hospitals Limited,"11, Bannerghatta Main Rd, Krishnaraju Layout, Amalodbhavi Nagar, Panduranga Nagar, Bengaluru, Karnataka ",560076,Bangalore,Karnataka,India,,,,,,12.89607043,77.59951096,ROOFTOP,"Non NABH
 &
 NABL
 (07/02/2020
 -
 06/02/2022)","Anaesthesiology, Cardiac Anaesthesia, Cardio Thoracic Surgery- Adult & Paediatrc,
 Cardiology-Adult & Paediatric Dental Science, Dermatology & Venereology, Emergency
 Medicine, Endocrinology, Family Medicine, Gastroenterology (Medical, Paediatric, Surgical),
 General Medicine, General Surgery Including Minimal Access Surgery, Geriatrics, Head and
 Neck Surgery, Hepato Pancreato Biliary Surgery, Hepato Pancreato Biliary surgery,
 Hepatology, Infertility and IVF, Neonatology, Nephrology, Neuro Surgery, Neurology,
 Obstetrics & Gynaecology, Oncology (Medical, Surgical), Ophthalmology, Orthopaedic Surgery
 including Joint Replacement Surgery, Otorhinolaryngology, Paediatric Surgery, Paediatrics,
 Plastics and Reconstructive Surgery, Psychiatry, Respiratory Medicine, Rheumatology, Sports
 Medicine, Urology, Vascular Surgery, Dietetics, Physiotherapy and Rehabilitation, Psychology,
 Speech and language Therapy, laboratory Services, Diagnostic Services and Transfusions
 Services.","Ravi Kuamr -
 9980411377,
 ravi.g@fortishealth
 care.com
 
 Ramesh Gattu -
 9900963388,
 ramesh.gattu@fort
 ishealthcare.com",CGHS_hospitals,1,,12.89499236,77.59865425,"Fortis Hospitals Limited, 11, Bannerghatta Main Rd, Krishnaraju Layout, Amalodbhavi Nagar, Panduranga Nagar, Bengaluru, Karnataka , Bangalore, 560076",12.9102431,77.6001599,560069,"Samrat Laxminarayan Wood Industries, Bannerghatta Road, MICO Layout, BTM Layout Ward, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560069, India",0.3,0.357954545,0.697764236,0.658163265,0.79659989,0.003085447,0.141935484,0.030854466,0.613429651
8,Imperial Hospital and Research Centre (Apollo),"154/11, Opp. IIMB-
 B, Bannerghatta
 Road, Bangalore
 ",560076,Bangalore,Karnataka,India,,,,,,12.89643124,77.59841662,ROOFTOP,"NABH
 &
 NABL
 (22/05/2018
 -
 21/05/2020)","Cardiology, CTVS, Vascular Surgery, Orthopedics (Joint Replacements, Spine Surgery),
 Paediatrics &Gynecology, General Surgery, Bariatric Surgery, Urology, Nephrology
 (Transplantation and Dialysis), Medical & Surgical Gastroenterology, Neurology &Neuro
 Surgery, ENT Surgery, Opthalmology, Imaging Services (CT, MRI, PET Scan, Nuclear
 Medicine), Medical, Surgical & Radiation Oncology, Laboratory Services","Krishna Reddy -
 9483600956,
 krishnareddy_k@a
 pollohospitals.com
 
 Manjunatha. E -
 9902292741,
 manjunatha_e@ap
 ollohospitals.com",CGHS_hospitals,1,,12.89622536,77.59815722,"Imperial Hospital and Research Centre (Apollo), 154/11, Opp. IIMB-
 B, Bannerghatta
 Road, Bangalore
 , Bangalore, 560076",12.8956152,77.602547,560076,"Indian Institute of Management Bangalore, Bannerghatta Road, Panduranga Nagar, Bilekahalli, Bommanahalli Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560076, India",0.8,0.28042328,0.622238946,0.462264151,0.648041007,0.003415067,0.075471698,0.034150673,0.520980764
9,Shekar Eye Hospital,"No.33 100 feet Ring
 road, JP Nagar 3rd
 phase, Bengalore",560078,Bangalore,Karnataka,India,,,,,,12.90677656,77.59597729,ROOFTOP,"NABH
 (18/12/2018
 â€“
 01/12/2021)
 
 &
 NON NABL",EXCLUSIVE EYE CARE CENTRE,"Shobha -
 9148147175 -
 counselling@shekar
 eyehospital.com
 
 Nirnjan Rao
 Bhonsle -
 9148147182 -
 tpa@shekareyehosp
 ital.com",CGHS_hospitals,1,,12.9064987,77.59595252,"Shekar Eye Hospital, No.33 100 feet Ring
 road, JP Nagar 3rd
 phase, Bengalore, Bangalore, 560078",12.9066982,77.5988624,560076,"Klayworkz Barista, Outer Ring Road, J P Nagar, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560076, India",0.7,0.306569343,0.638099929,0.5,0.676625642,0.004463811,0.101694915,0.044638112,0.545400988
10,Sagar Hospitals Banshankari,"Shavige Malleshwara Hills, DSI, behind Dayananda Sagar Institution Campus, Kumaraswamy Layout, Bengaluru, Karnataka",560111,Bangalore,Karnataka,India,,,,,,12.90795625,77.56510483,GEOMETRIC_CENTER,"Non NABH
 Entry level
 (06/07/2017
 -
 05/07/2019)
 &
 NABL
 (13/06/2018
 -
 12/06/2020)","Anesthesiology, Cardiology, Cosmetic/Plastic Surgery, Dental, Dermatology, Diabetics &
 Endocrinology Dietary & Nutrition, ENT, Gastroenterology, General Surgery, Geriatrics,
 Neonatology, Nephrology Neurosurgery, Obstetrics and Gynecology, Oncology-
 Medical/Surgical, Ophthalmology, Orthopedics, Pathology and Laboratory Services,
 Pediatrics,Physiotherapy, Psychology, Pulmonology/Respiratory Medicine, Radiology &
 Imaging Services, Rheumatology, Reconstructive Surgery, Transfusion Medicine Urology,
 Vascular Surgery, Diagnostic Services.","Vikram -
 9591991812,
 billinmanger.bsk@s
 agarhospitals.in
 
 Dr. Naganand.K.A -
 9591991897,
 amabsk@sagarhos
 pitals.in",CGHS_hospitals,1,,12.90796711,77.56511925,"Sagar Hospitals Banshankari, Shavige Malleshwara Hills, DSI, behind Dayananda Sagar Institution Campus, Kumaraswamy Layout, Bengaluru, Karnataka, Bangalore, 560111",12.9087694,77.5672257,560082,"Dayanand Sagar Institutions, 90th Cross, KS Layout 5th Cross, ISRO Layout, Kumaraswamy Layout, South Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560082, India",0.7,0.286486486,0.697094641,0.641509434,0.783175769,0.002898114,0.189542484,0.028981143,0.599485119
11,Narayana Multi Speciality Hospital,"Basant Health Centre Building No. 1, 18th Main Rd, Sector 3, HSR Layout, Bengaluru, Karnataka ",560102,Bangalore,Karnataka,India,,,,,,12.90936557,77.64378013,GEOMETRIC_CENTER,"NABH
 (15/01/2016
 â€“
 14/01/2019)
 &
 Non-NABL","Anaesthesiology, Cardiology, Clinical Psycology, Cranio-Maxillo Facial Surgery, Critical Care,
 Dermatology, Diabetology, E.N.T, General Surgery, Genetics, Haematology, Rheumatology,
 Internal Medicine, Interventional Neurology, Medical Gastroenterology, Molecular
 Diagnostics, Nephrology, Neurosurgery, Obstetrics & Gynaecology, Oncoplastic Breast
 Surgery, Paediatric Surgery, Paediatrics, Orthopaedic,Psychiatry, Pulmonology, Radiology &
 Imaging, Reproductive Medicine, Surgical Gastroenterology, Surgical Oncology, Thoracic
 Surgery, Transfusion Medicine, Urology, Vascular Surgery, Womenâ€™s Oncology, Accident &
 EmergencyDiagnostic Services : Holter Monitoring, Echo Cardiography, TMT, Radiology &
 Imaging, Digital X-ray, CT Scan, Ultra Sonography, Bio Chemistry, Histopathology,
 Microbiology, Haematology, Clinical Pathology, Serology, Tissue Repository, EEG, ENMG,
 Frozen Section, Physiotherapy. Other Services: Dialysis, Electro Physiology Lab, Executive
 Health Check, Bronchoscopy, Colonoscopy, Nutrition & Dietetics, Cardiac Rehabilitation,
 Endoscopy, Pulmonary Function Test and any other facilities.","Lokesh Gopal
 Chavan â€“
 9730023304 â€“
 lokeshgopal.chavan
 @narayanahealth.
 org
 
 Abhishek â€“
 8217689587 â€“
 abhishek01@naray
 anahealth.org",CGHS_hospitals,1,,12.90936557,77.64378013,"Narayana Multi Speciality Hospital, Basant Health Centre Building No. 1, 18th Main Rd, Sector 3, HSR Layout, Bengaluru, Karnataka , Bangalore, 560102",12.9081024,77.6435134,560102,"Narayana Multispeciality Hospital, Basant Health Center, Building No. 1, 18th Main Road, Sector 3, HSR Layout Ward, Bommanahalli Zone, Bengaluru, Bangalore South, Bengaluru Urban District, Karnataka, 560102, India",0.9,0.633802817,0.855342345,0.699530516,0.836379409,0.003355705,0.159574468,0.033557047,0.750129794
